TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
UNKNOWN,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,35,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,"REPORTED, NOT EVIDENT",1,"As I cruised down the straight and level road, the darkness enveloping the surroundings was pierced by the glow of the streetlights above me. Raindrops pelted the windshield, creating a mesmerizing dance of light and shadow. The wet roadway made me grip the steering wheel a bit tighter, wary of any sudden movements. With the unknown presence of traffic control devices, I cautiously navigated the undivided road, keeping to the posted speed limit of 35. Despite the challenging weather conditions, I maintained focus, relying on my headlights to guide the way ahead. The feeling of tension mixed with a sense of alertness as I subconsciously prepared for the unexpected."
NO CONTROLS,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,30,OTHER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic lights or signs in sight. It was a sunny day, so I had clear visibility ahead. The speed limit was 30, so I was taking it easy. The road surface felt normal under my tires, not too bumpy or slippery. The area seemed a bit unfamiliar to me, maybe because the weather conditions were unknown, but it didn't bother me much. The trafficway type was listed as ""other,"" which made me wonder what that meant exactly. Overall, I was just enjoying the drive, taking in the scenery and feeling at ease behind the wheel."
TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"So there I was, cruising down the straight and level road, bopping to my favorite tunes under the bright daylight. The traffic signal ahead was glowing red, so I eased off the gas and prepared to stop. The road was divided with a median, giving a sense of order to the bustling traffic around me. With a posted speed limit of 30, everyone was taking it easy, following the flow of the road. The weather conditions were a bit mysterious, not a cloud in sight but a hint of something in the air. The roadway surface condition seemed normal, no bumps or potholes in sight. I watched as the other cars obediently slowed down alongside me, all of us in sync as we approached the signal. It was just another routine drive, nothing out of the ordinary, just me and my fellow commuters navigating the urban jungle."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic control devices in sight. The weather was clear, and the daylight made visibility perfect. The road surface was dry, making for a smooth ride. I noticed the posted speed limit was 30 miles per hour, so I made sure to stick to it. The road was divided with a median, giving a sense of order to the traffic flow. Overall, it seemed like a pretty standard drive on a typical day."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was driving on a straight and level road intersecting with another road, both with a stop sign and flasher in sight, making it a four-way stop. It was dark out, but luckily the road was well-lit. The weather was clear, though the pavement was wet from a recent rain. The posted speed limit was 30, so I was cruising cautiously. The conditions seemed pretty tricky with the wet road, but I was being extra attentive."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",CURVE ON GRADE,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road late at night with no traffic lights in sight. The weather was clear, but the darkness made it a bit tricky to see. Luckily, the road was well-lit, helping me navigate the curve on the grade ahead. The wet road surface was a little concerning, considering the posted speed limit was only 30. I was driving along a divided highway with a median, feeling both cautious and a bit tense due to the road conditions."
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic controls in sight. The weather was a bit gloomy, with the sky covered in thick clouds, but the daylight made it easy to see ahead. The dry roadway surface under my wheels provided good grip as I kept to the 30 mph speed limit. The road was not divided, so I stayed in my lane, passing by other vehicles going in the opposite direction. Despite the overcast skies, visibility was decent, allowing me to relax and enjoy the drive."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,NO INDICATION OF INJURY,0,"I was driving down a straight, level road with no traffic controls in place. It was a rainy day, but thankfully it was still daylight, so visibility was decent. The road surface was wet from the rain, making the driving conditions a bit challenging. The posted speed limit was just 30 miles per hour, so I made sure to keep my speed in check. The road was not divided, so I stayed in my lane, keeping an eye out for any oncoming traffic. The wet road made me a little cautious, but I kept a steady grip on the wheel and focused on the road ahead."
OTHER WARNING SIGN,CLOUDY/OVERCAST,DAYLIGHT,"CURVE, LEVEL",WET,35,DIVIDED - W/MEDIAN BARRIER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a cloudy day, the sky all grey and moody above me. The sun was still out, but the clouds were blocking most of its rays. The road I was on had a nice curve to it, nothing too sharp, just enough to keep things interesting. It was a divided highway with a median barrier in the middle, so I felt pretty safe from oncoming traffic. The warning sign up ahead caught my eye, just reminding me to stay alert. The pavement looked wet from earlier rain, so I made sure to keep my speed in check, sticking to the 35 mph limit. The road was nice and flat, no sudden dips or bumps to worry about. Overall, it was a pleasant drive despite the weather, and I was enjoying the peaceful journey."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,40,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"As I cruised down the road on a clear, sunny day, the traffic signal ahead switched from green to yellow. I eased off the accelerator, preparing to stop at the intersection. The road stretched out straight and level before me, divided by a wide median. The dry asphalt beneath my tires provided good traction as I slowed down to abide by the 40 mph speed limit. The daylight cast a warm glow on the surroundings, making everything seem peaceful and serene. Despite the traffic around me, there was a sense of order and calm, with each vehicle following the rules of the road. The divided roadway created a safe space for me to navigate, and I felt confident in my driving skills as I approached the intersection."
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,"REPORTED, NOT EVIDENT",1,"I was cruising down a straight and level road with a median dividing the lanes, and there were no traffic control devices in sight. It was a cloudy day, but the daylight still provided good visibility. The road surface was dry, and the posted speed limit was 30 miles per hour. Despite the overcast skies, everything seemed calm and normal as I drove along the divided roadway."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,25,UNKNOWN,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, no stop signs or traffic lights in sight. The rain was coming down pretty hard, making the road surface wet and a bit slippery. Thankfully, it was still daylight out, so visibility was decent. The speed limit was only 25, which was fine by me on this unknown type of road. The conditions were a bit tricky with the rain, but I was keeping my eyes peeled and staying focused on the road ahead."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was driving down a straight and level road with no traffic controls in place. The rain was coming down steadily, making the road surface wet and slightly slippery. Although it was dark outside, the road was well-lit, helping me to see ahead. The posted speed limit was just 30 miles per hour, so I was taking it easy and staying cautious. The roadway was not divided, so oncoming traffic was just a lane away. The combination of rain, darkness, and wet road made me extra alert as I continued on my way."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN BARRIER,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"As I drove down the divided highway with a median barrier separating the lanes, the traffic signal ahead turned red, signaling me to slow down. The weather was clear, with a starry sky overhead despite the darkness. Fortunately, the road was well-lit, allowing me to see clearly. The straight and level alignment of the road made it easy to navigate. The surface was dry, providing good traction for my vehicle. I kept in mind the posted speed limit of 30 mph, ensuring I was driving safely within the legal limits. Despite the late hour, the road felt peaceful and devoid of the usual traffic congestion."
TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with a median in the middle, surrounded by a dense fog that seemed to swallow up everything in sight. Despite the darkness, the road was illuminated by streetlights casting an eerie glow on the wet surface below. As I approached the intersection, the traffic signal ahead loomed through the haze, its red light piercing through the mist like a beacon in the night. The posted speed limit of 30 served as a reminder to proceed with caution in these conditions. The divided roadway with a median provided a sense of separation from oncoming traffic, adding a layer of safety to the eerie atmosphere. My hands gripped the wheel tightly as I navigated through the thick air, hoping to reach my destination unscathed."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I made my way down the straight and level road, I approached the traffic signal ahead, indicating I should slow down to 30 mph. The rain was coming down steadily, making the road surface wet and a bit slippery. Despite the darkness of the night, the road was well-lit, allowing me to see clearly. The trafficway was not divided, so I stayed in my lane, keeping a cautious eye for any upcoming vehicles. The conditions were a bit challenging due to the weather, but I kept my focus on the road ahead, adjusting my speed accordingly."
